f1,f2,f3,f4,label
5100000,3500000,1400000,200000,0
4900000,3000000,1400000,200000,0
4700000,3200000,1300000,200000,0
4600000,3100000,1500000,200000,0
5000000,3600000,1400000,200000,0
5400000,3900000,1700000,400000,0
4600000,3400000,1400000,300000,0
5000000,3400000,1500000,200000,0
4400000,2900000,1400000,200000,0
4900000,3100000,1500000,100000,0
5400000,3700000,1500000,200000,0
4800000,3400000,1600000,200000,0
4800000,3000000,1400000,100000,0
4300000,3000000,1100000,100000,0
5800000,4000000,1200000,200000,0
5700000,4400000,1500000,400000,0
5400000,3900000,1300000,400000,0
5100000,3500000,1400000,300000,0
5700000,3800000,1700000,300000,0
5100000,3800000,1500000,300000,0
5400000,3400000,1700000,200000,0
5100000,3700000,1500000,400000,0
4600000,3600000,1000000,200000,0
5100000,3300000,1700000,500000,0
4800000,3400000,1900000,200000,0
5000000,3000000,1600000,200000,0
5000000,3400000,1600000,400000,0
5200000,3500000,1500000,200000,0
5200000,3400000,1400000,200000,0
4700000,3200000,1600000,200000,0
4800000,3100000,1600000,200000,0
5400000,3400000,1500000,400000,0
5200000,4100000,1500000,100000,0
5500000,4200000,1400000,200000,0
4900000,3100000,1500000,200000,0
5000000,3200000,1200000,200000,0
5500000,3500000,1300000,200000,0
4900000,3600000,1400000,100000,0
4400000,3000000,1300000,200000,0
5100000,3400000,1500000,200000,0
5000000,3500000,1300000,300000,0
4500000,2300000,1300000,300000,0
4400000,3200000,1300000,200000,0
5000000,3500000,1600000,600000,0
5100000,3800000,1900000,400000,0
4800000,3000000,1400000,300000,0
5100000,3800000,1600000,200000,0
4600000,3200000,1400000,200000,0
5300000,3700000,1500000,200000,0
5000000,3300000,1400000,200000,0
7000000,3200000,4700000,1400000,1
6400000,3200000,4500000,1500000,1
6900000,3100000,4900000,1500000,1
5500000,2300000,4000000,1300000,1
6500000,2800000,4600000,1500000,1
5700000,2800000,4500000,1300000,1
6300000,3300000,4700000,1600000,1
4900000,2400000,3300000,1000000,1
6600000,2900000,4600000,1300000,1
5200000,2700000,3900000,1400000,1
5000000,2000000,3500000,1000000,1
5900000,3000000,4200000,1500000,1
6000000,2200000,4000000,1000000,1
6100000,2900000,4700000,1400000,1
5600000,2900000,3600000,1300000,1
6700000,3100000,4400000,1400000,1
5600000,3000000,4500000,1500000,1
5800000,2700000,4100000,1000000,1
6200000,2200000,4500000,1500000,1
5600000,2500000,3900000,1100000,1
5900000,3200000,4800000,1800000,1
6100000,2800000,4000000,1300000,1
6300000,2500000,4900000,1500000,1
6100000,2800000,4700000,1200000,1
6400000,2900000,4300000,1300000,1
6600000,3000000,4400000,1400000,1
6800000,2800000,4800000,1400000,1
6700000,3000000,5000000,1700000,1
6000000,2900000,4500000,1500000,1
5700000,2600000,3500000,1000000,1
5500000,2400000,3800000,1100000,1
5500000,2400000,3700000,1000000,1
5800000,2700000,3900000,1200000,1
6000000,2700000,5100000,1600000,1
5400000,3000000,4500000,1500000,1
6000000,3400000,4500000,1600000,1
6700000,3100000,4700000,1500000,1
6300000,2300000,4400000,1300000,1
5600000,3000000,4100000,1300000,1
5500000,2500000,4000000,1300000,1
5500000,2600000,4400000,1200000,1
6100000,3000000,4600000,1400000,1
5800000,2600000,4000000,1200000,1
5000000,2300000,3300000,1000000,1
5600000,2700000,4200000,1300000,1
5700000,3000000,4200000,1200000,1
5700000,2900000,4200000,1300000,1
6200000,2900000,4300000,1300000,1
5100000,2500000,3000000,1100000,1
5700000,2800000,4100000,1300000,1
6300000,3300000,6000000,2500000,2
5800000,2700000,5100000,1900000,2
7100000,3000000,5900000,2100000,2
6300000,2900000,5600000,1800000,2
6500000,3000000,5800000,2200000,2
7600000,3000000,6600000,2100000,2
4900000,2500000,4500000,1700000,2
7300000,2900000,6300000,1800000,2
6700000,2500000,5800000,1800000,2
7200000,3600000,6100000,2500000,2
6500000,3200000,5100000,2000000,2
6400000,2700000,5300000,1900000,2
6800000,3000000,5500000,2100000,2
5700000,2500000,5000000,2000000,2
5800000,2800000,5100000,2400000,2
6400000,3200000,5300000,2300000,2
6500000,3000000,5500000,1800000,2
7700000,3800000,6700000,2200000,2
7700000,2600000,6900000,2300000,2
6000000,2200000,5000000,1500000,2
6900000,3200000,5700000,2300000,2
5600000,2800000,4900000,2000000,2
7700000,2800000,6700000,2000000,2
6300000,2700000,4900000,1800000,2
6700000,3300000,5700000,2100000,2
7200000,3200000,6000000,1800000,2
6200000,2800000,4800000,1800000,2
6100000,3000000,4900000,1800000,2
6400000,2800000,5600000,2100000,2
7200000,3000000,5800000,1600000,2
7400000,2800000,6100000,1900000,2
7900000,3800000,6400000,2000000,2
6400000,2800000,5600000,2200000,2
6300000,2800000,5100000,1500000,2
6100000,2600000,5600000,1400000,2
7700000,3000000,6100000,2300000,2
6300000,3400000,5600000,2400000,2
6400000,3100000,5500000,1800000,2
6000000,3000000,4800000,1800000,2
6900000,3100000,5400000,2100000,2
6700000,3100000,5600000,2400000,2
6900000,3100000,5100000,2300000,2
5800000,2700000,5100000,1900000,2
6800000,3200000,5900000,2300000,2
6700000,3300000,5700000,2500000,2
6700000,3000000,5200000,2300000,2
6300000,2500000,5000000,1900000,2
6500000,3000000,5200000,2000000,2
6200000,3400000,5400000,2300000,2
5900000,3000000,5100000,1800000,2
